id,category,title,hook,terms,youtube_check
52,"Death, Life & The Balance",How fear of the unknown fuels daily life — Here's What Science Says,YOU ARE HOW FEAR OF THE UNKNOWN FUELS DAILY LI,fear;unknown;fuels;daily,https://www.youtube.com/results?search_query=hidden+science+behind+fear+unknown+fuels
53,"Death, Life & The Balance",The Hidden Science Behind Whether this balance is really worth it,SCIENCE CONFIRMS: WHETHER THIS BALANCE IS REALLY WORTH I,whether;this;balance;really,https://www.youtube.com/results?search_query=hidden+science+behind+whether+this+balance
54,"Death, Life & The Balance",Why death makes mornings louder (And Why It Matters),NEVER IGNORE WHY DEATH MAKES MORNINGS LOUDER,death;makes;mornings;louder,https://www.youtube.com/results?search_query=hidden+science+behind+death+makes+mornings
55,"Death, Life & The Balance",How mortality built culture and meaning: What Nobody Teaches,HOW MORTALITY BUILT CULTURE — FINAL PROOF,mortality;built;culture;meaning,https://www.youtube.com/results?search_query=hidden+science+behind+mortality+built+culture
56,"Death, Life & The Balance",Why we bury death under busy schedules — The Part Schools Skip,STOP: WHY WE BURY DEATH UNDER BUSY SCHEDULES,bury;death;under;busy,https://www.youtube.com/results?search_query=hidden+science+behind+bury+death+under
57,"Death, Life & The Balance",What the brain does with forever — Science Finally Answered,THIS CHANGES WHAT THE BRAIN DOES,what;brain;does;with,https://www.youtube.com/results?search_query=hidden+science+behind+what+brain+does
58,"Death, Life & The Balance",The Truth About Why legacy ideas outlive bodies,WHY LEGACY IDEAS OUTLIVE BODIES?!,legacy;ideas;outlive;bodies,https://www.youtube.com/results?search_query=hidden+science+behind+legacy+ideas+outlive
59,"Death, Life & The Balance",Understanding How hospitals changed our fear wiring,THE TRUTH ABOUT HOW HOSPITALS CHANGED OUR FEAR WIRING,hospitals;changed;fear;wiring,https://www.youtube.com/results?search_query=hidden+science+behind+hospitals+changed+fear
60,"Death, Life & The Balance",Why some fears grow quieter with age — And What It Does To You,YOU ARE WHY SOME FEARS GROW QUIETER,some;fears;grow;quieter,https://www.youtube.com/results?search_query=hidden+science+behind+some+fears+grow
61,Dark Psychology (20-Part Series),The Hidden Science Behind Part1 the foot-in-the-door technique,SCIENCE CONFIRMS: PART1 THE FOOT-IN-THE-DOOR TECHNIQUE,part;foot;door;technique,https://www.youtube.com/results?search_query=hidden+science+behind+part+foot+door
62,Dark Psychology (20-Part Series),The Hidden Science Behind Part2 how cold reading really works,NEVER IGNORE PART2 HOW COLD READING REALLY WORKS,part;cold;reading;really,https://www.youtube.com/results?search_query=hidden+science+behind+part+cold+reading
63,Dark Psychology (20-Part Series),The Hidden Science Behind Part3 the broken record of manipulation,PART3 THE BROKEN RECORD OF MANIPULATIO — FINAL PROOF,part;broken;record;manipulation,https://www.youtube.com/results?search_query=hidden+science+behind+part+broken+record
64,Dark Psychology (20-Part Series),The Hidden Science Behind Part4 love bombing and its scripts,STOP: PART4 LOVE BOMBING,part;love;bombing;scripts,https://www.youtube.com/results?search_query=hidden+science+behind+part+love+bombing
65,Dark Psychology (20-Part Series),The Hidden Science Behind Part5 gaslighting and memory edits,THIS CHANGES PART5 GASLIGHTING,part;gaslighting;memory;edits,https://www.youtube.com/results?search_query=hidden+science+behind+part+gaslighting+memory
66,Dark Psychology (20-Part Series),The Hidden Science Behind Part6 the halo effect in sales,PART6 THE HALO EFFECT IN SALES?!,part;halo;effect;sales,https://www.youtube.com/results?search_query=hidden+science+behind+part+halo+effect
67,Dark Psychology (20-Part Series),The Hidden Science Behind Part7 reverse psychology mechanics,THE TRUTH ABOUT PART7 REVERSE PSYCHOLOGY MECHANICS,part;reverse;psychology;mechanics,https://www.youtube.com/results?search_query=hidden+science+behind+part+reverse+psychology
68,Dark Psychology (20-Part Series),The Hidden Science Behind Part8 scarcity pressure tactics,YOU ARE PART8 SCARCITY PRESSURE TACTICS,part;scarcity;pressure;tactics,https://www.youtube.com/results?search_query=hidden+science+behind+part+scarcity+pressure
69,Dark Psychology (20-Part Series),The Hidden Science Behind Part9 the Sunk Cost trap,SCIENCE CONFIRMS: PART9 THE SUNK COST TRAP,part;sunk;cost;trap,https://www.youtube.com/results?search_query=hidden+science+behind+part+sunk+cost
70,Dark Psychology (20-Part Series),The Hidden Science Behind Part10 isolation playbooks,NEVER IGNORE PART10 ISOLATION PLAYBOOKS,part;isolation;playbooks,https://www.youtube.com/results?search_query=hidden+science+behind+part+isolation+playbooks
71,Dark Psychology (20-Part Series),The Hidden Science Behind Part11 flattery ladders,PART11 FLATTERY LADDERS — FINAL PROOF,part;flattery;ladders,https://www.youtube.com/results?search_query=hidden+science+behind+part+flattery+ladders
72,Dark Psychology (20-Part Series),The Hidden Science Behind Part12 emotional blackmail patterns,STOP: PART12 EMOTIONAL BLACKMAIL PATTERNS,part;emotional;blackmail;patterns,https://www.youtube.com/results?search_query=hidden+science+behind+part+emotional+blackmail
73,Dark Psychology (20-Part Series),The Hidden Science Behind Part13 the illusion of choice,THIS CHANGES PART13 THE ILLUSION OF CHOICE,part;illusion;choice,https://www.youtube.com/results?search_query=hidden+science+behind+part+illusion+choice
74,Dark Psychology (20-Part Series),The Hidden Science Behind Part4 anchoring in negotiations,PART4 ANCHORING IN NEGOTIATIONS?!,part;anchoring;negotiations,https://www.youtube.com/results?search_query=hidden+science+behind+part+anchoring+negotiations
75,Dark Psychology (20-Part Series),The Hidden Science Behind Part15 triangulation tactics,THE TRUTH ABOUT PART15 TRIANGULATION TACTICS,part;triangulation;tactics,https://www.youtube.com/results?search_query=hidden+science+behind+part+triangulation+tactics
76,Dark Psychology (20-Part Series),The Hidden Science Behind Part16 future faking signals,YOU ARE PART16 FUTURE FAKING SIGNALS,part;future;faking;signals,https://www.youtube.com/results?search_query=hidden+science+behind+part+future+faking
77,Dark Psychology (20-Part Series),The Hidden Science Behind Part17 the good-cop routine,SCIENCE CONFIRMS: PART17 THE GOOD-COP ROUTINE,part;good;routine,https://www.youtube.com/results?search_query=hidden+science+behind+part+good+routine
78,Dark Psychology (20-Part Series),The Hidden Science Behind Part18 obligation hooks,NEVER IGNORE PART18 OBLIGATION HOOKS,part;obligation;hooks,https://www.youtube.com/results?search_query=hidden+science+behind+part+obligation+hooks
79,Dark Psychology (20-Part Series),The Hidden Science Behind Part19 labeling and identity control,PART19 LABELING — FINAL PROOF,part;labeling;identity;control,https://www.youtube.com/results?search_query=hidden+science+behind+part+labeling+identity
80,Dark Psychology (20-Part Series),The Hidden Science Behind Part20 how to disarm every tactic,STOP: PART20 HOW TO DISARM EVERY TACTIC,part;disarm;every;tactic,https://www.youtube.com/results?search_query=hidden+science+behind+part+disarm+every
81,Science of Relationships,Why adults marry and what genes want,THIS CHANGES WHY ADULTS MARRY,adults;marry;what;genes,https://www.youtube.com/results?search_query=hidden+science+behind+adults+marry+what
82,Science of Relationships,How attachment styles pick partners — Here's What Science Says,HOW ATTACHMENT STYLES PICK PARTNERS?!,attachment;styles;pick;partners,https://www.youtube.com/results?search_query=hidden+science+behind+attachment+styles+pick
83,Science of Relationships,Why arguments follow the same script — The Full Story,THE TRUTH ABOUT WHY ARGUMENTS FOLLOW THE SAME SCRIPT,arguments;follow;same;script,https://www.youtube.com/results?search_query=hidden+science+behind+arguments+follow+same
84,Science of Relationships,What oxytocin actually decides (And Why It Matters),YOU ARE WHAT OXYTOCIN ACTUALLY DECIDES,what;oxytocin;actually;decides,https://www.youtube.com/results?search_query=hidden+science+behind+what+oxytocin+actually
85,Science of Relationships,Why attraction fades and rebuilds: What Nobody Teaches,SCIENCE CONFIRMS: WHY ATTRACTION FADES,attraction;fades;rebuilds,https://www.youtube.com/results?search_query=hidden+science+behind+attraction+fades+rebuilds
86,Science of Relationships,How childhood molds adult bonds — The Part Schools Skip,NEVER IGNORE HOW CHILDHOOD MOLDS ADULT BONDS,childhood;molds;adult;bonds,https://www.youtube.com/results?search_query=hidden+science+behind+childhood+molds+adult
87,Science of Relationships,Why some couples never run out of talk — Science Finally Answered,WHY SOME COUPLES NEVER RUN OUT OF TALK — FINAL PROOF,some;couples;never;talk,https://www.youtube.com/results?search_query=hidden+science+behind+some+couples+never
88,Science of Relationships,The Truth About What trust does to the nervous system,STOP: WHAT TRUST DOES TO THE NERVOUS SYSTEM,what;trust;does;nervous,https://www.youtube.com/results?search_query=hidden+science+behind+what+trust+does
89,Science of Relationships,Understanding Why jealousy reappears at30,THIS CHANGES WHY JEALOUSY REAPPEARS AT30,jealousy;reappears,https://www.youtube.com/results?search_query=hidden+science+behind+jealousy+reappears
90,Science of Relationships,How shared silence measures love — And What It Does To You,HOW SHARED SILENCE MEASURES LOVE?!,shared;silence;measures;love,https://www.youtube.com/results?search_query=hidden+science+behind+shared+silence+measures
91,Brain & Behavior,How dopamine schedules your desires,THE TRUTH ABOUT HOW DOPAMINE SCHEDULES YOUR DESIRES,dopamine;schedules;your;desires,https://www.youtube.com/results?search_query=hidden+science+behind+dopamine+schedules+your
92,Brain & Behavior,Why memory edits every retelling — Here's What Science Says,YOU ARE WHY MEMORY EDITS EVERY RETELLING,memory;edits;every;retelling,https://www.youtube.com/results?search_query=hidden+science+behind+memory+edits+every
93,Brain & Behavior,What sleep does to yesterday's problems — The Full Story,SCIENCE CONFIRMS: WHAT SLEEP DOES TO YESTERDAY'S PROBLEM,what;sleep;does;yesterday,https://www.youtube.com/results?search_query=hidden+science+behind+what+sleep+does
94,Brain & Behavior,Why habits live below consciousness (And Why It Matters),NEVER IGNORE WHY HABITS LIVE BELOW CONSCIOUSNESS,habits;live;below;consciousness,https://www.youtube.com/results?search_query=hidden+science+behind+habits+live+below
95,Brain & Behavior,How stress shrinks the thinking brain: What Nobody Teaches,HOW STRESS SHRINKS THE THINKING BRAIN — FINAL PROOF,stress;shrinks;thinking;brain,https://www.youtube.com/results?search_query=hidden+science+behind+stress+shrinks+thinking
96,Brain & Behavior,Why the90-second emotion rule exists — The Part Schools Skip,STOP: WHY THE90-SECOND EMOTION RULE EXISTS,second;emotion;rule;exists,https://www.youtube.com/results?search_query=hidden+science+behind+second+emotion+rule
97,Brain & Behavior,What attention really costs the brain — Science Finally Answered,THIS CHANGES WHAT ATTENTION REALLY COSTS THE BRAIN,what;attention;really;costs,https://www.youtube.com/results?search_query=hidden+science+behind+what+attention+really
98,Brain & Behavior,The Truth About Why multitasking is a lie,WHY MULTITASKING IS A LIE?!,multitasking,https://www.youtube.com/results?search_query=hidden+science+behind+multitasking
99,Brain & Behavior,Understanding How the gut talks to the mind,THE TRUTH ABOUT HOW THE GUT TALKS TO THE MIND,talks;mind,https://www.youtube.com/results?search_query=hidden+science+behind+talks+mind
100,Brain & Behavior,Why first impressions stick for years — And What It Does To You,YOU ARE WHY FIRST IMPRESSIONS STICK FOR YEARS,first;impressions;stick;years,https://www.youtube.com/results?search_query=hidden+science+behind+first+impressions+stick
101,Society & Belief,How cultures form without anyone deciding,SCIENCE CONFIRMS: HOW CULTURES FORM WITHOUT ANYONE DECID,cultures;form;without;anyone,https://www.youtube.com/results?search_query=hidden+science+behind+cultures+form+without
102,Society & Belief,Why beliefs harden with age — Here's What Science Says,NEVER IGNORE WHY BELIEFS HARDEN,beliefs;harden;with,https://www.youtube.com/results?search_query=hidden+science+behind+beliefs+harden+with
103,Society & Belief,What tribes teach babies about us vs them — The Full Story,WHAT TRIBES TEACH BABIES ABOUT US VS T — FINAL PROOF,what;tribes;teach;babies,https://www.youtube.com/results?search_query=hidden+science+behind+what+tribes+teach
104,Society & Belief,Why rituals survived every empire (And Why It Matters),STOP: WHY RITUALS SURVIVED EVERY EMPIRE,rituals;survived;every;empire,https://www.youtube.com/results?search_query=hidden+science+behind+rituals+survived+every
105,Society & Belief,How language builds invisible borders: What Nobody Teaches,THIS CHANGES HOW LANGUAGE BUILDS INVISIBLE BORDERS,language;builds;invisible;borders,https://www.youtube.com/results?search_query=hidden+science+behind+language+builds+invisible
106,Society & Belief,Why traditions outlive their reasons — The Part Schools Skip,WHY TRADITIONS OUTLIVE THEIR REASONS?!,traditions;outlive;their;reasons,https://www.youtube.com/results?search_query=hidden+science+behind+traditions+outlive+their
107,Society & Belief,What money invented beyond trade — Science Finally Answered,THE TRUTH ABOUT WHAT MONEY INVENTED BEYOND TRADE,what;money;invented;beyond,https://www.youtube.com/results?search_query=hidden+science+behind+what+money+invented
108,Society & Belief,The Truth About Why flags can move bodies,YOU ARE WHY FLAGS CAN MOVE BODIES,flags;move;bodies,https://www.youtube.com/results?search_query=hidden+science+behind+flags+move+bodies
109,Society & Belief,Understanding How stories replace shared blood,SCIENCE CONFIRMS: HOW STORIES REPLACE SHARED BLOOD,stories;replace;shared;blood,https://www.youtube.com/results?search_query=hidden+science+behind+stories+replace+shared
110,Society & Belief,Why norms feel like laws — And What It Does To You,NEVER IGNORE WHY NORMS FEEL LIKE LAWS,norms;feel;like;laws,https://www.youtube.com/results?search_query=hidden+science+behind+norms+feel+like
111,Persuasion & Influence,Why mirroring bodies builds instant trust,WHY MIRRORING BODIES BUILDS INSTANT TR — FINAL PROOF,mirroring;bodies;builds;instant,https://www.youtube.com/results?search_query=hidden+science+behind+mirroring+bodies+builds
112,Persuasion & Influence,How tone of voice wins arguments — Here's What Science Says,STOP: HOW TONE OF VOICE WINS ARGUMENTS,tone;voice;wins;arguments,https://www.youtube.com/results?search_query=hidden+science+behind+tone+voice+wins
113,Persuasion & Influence,Why the last offer is remembered most — The Full Story,THIS CHANGES WHY THE LAST OFFER IS REMEMBERED MOST,last;offer;remembered;most,https://www.youtube.com/results?search_query=hidden+science+behind+last+offer+remembered
114,Persuasion & Influence,What silence does in negotiations (And Why It Matters),WHAT SILENCE DOES IN NEGOTIATIONS?!,what;silence;does;negotiations,https://www.youtube.com/results?search_query=hidden+science+behind+what+silence+does
115,Persuasion & Influence,Why people comply with tiny requests first: What Nobody Teaches,THE TRUTH ABOUT WHY PEOPLE COMPLY,people;comply;with;tiny,https://www.youtube.com/results?search_query=hidden+science+behind+people+comply+with
116,Persuasion & Influence,How framing changes any answer — The Part Schools Skip,YOU ARE HOW FRAMING CHANGES ANY ANSWER,framing;changes;answer,https://www.youtube.com/results?search_query=hidden+science+behind+framing+changes+answer
117,Persuasion & Influence,Why confidence looks like competence — Science Finally Answered,SCIENCE CONFIRMS: WHY CONFIDENCE LOOKS LIKE COMPETENCE,confidence;looks;like;competence,https://www.youtube.com/results?search_query=hidden+science+behind+confidence+looks+like
118,Persuasion & Influence,The Truth About What names do to cooperation,NEVER IGNORE WHAT NAMES DO TO COOPERATION,what;names;cooperation,https://www.youtube.com/results?search_query=hidden+science+behind+what+names+cooperation
119,Persuasion & Influence,Understanding Why asking twice reveals honesty,WHY ASKING TWICE REVEALS HONESTY — FINAL PROOF,asking;twice;reveals;honesty,https://www.youtube.com/results?search_query=hidden+science+behind+asking+twice+reveals
120,Persuasion & Influence,How stories beat statistics every time — And What It Does To You,STOP: HOW STORIES BEAT STATISTICS EVERY TIME,stories;beat;statistics;every,https://www.youtube.com/results?search_query=hidden+science+behind+stories+beat+statistics
121,Memory & Learning,Why spaced repetition beats cramming,THIS CHANGES WHY SPACED REPETITION BEATS CRAMMING,spaced;repetition;beats;cramming,https://www.youtube.com/results?search_query=hidden+science+behind+spaced+repetition+beats
122,Memory & Learning,How emotion decides what you remember — Here's What Science Says,HOW EMOTION DECIDES WHAT YOU REMEMBER?!,emotion;decides;what;remember,https://www.youtube.com/results?search_query=hidden+science+behind+emotion+decides+what
123,Memory & Learning,Why writing beats highlighting — The Full Story,THE TRUTH ABOUT WHY WRITING BEATS HIGHLIGHTING,writing;beats;highlighting,https://www.youtube.com/results?search_query=hidden+science+behind+writing+beats+highlighting
124,Memory & Learning,What boredom does for deep learning (And Why It Matters),YOU ARE WHAT BOREDOM DOES FOR DEEP LEARNING,what;boredom;does;deep,https://www.youtube.com/results?search_query=hidden+science+behind+what+boredom+does
125,Memory & Learning,Why teaching exposes fake knowledge: What Nobody Teaches,SCIENCE CONFIRMS: WHY TEACHING EXPOSES FAKE KNOWLEDGE,teaching;exposes;fake;knowledge,https://www.youtube.com/results?search_query=hidden+science+behind+teaching+exposes+fake
126,Memory & Learning,How sleep saves the day's lessons — The Part Schools Skip,NEVER IGNORE HOW SLEEP SAVES THE DAY'S LESSONS,sleep;saves;lessons,https://www.youtube.com/results?search_query=hidden+science+behind+sleep+saves+lessons
127,Memory & Learning,Why mnemonics hijack memory — Science Finally Answered,WHY MNEMONICS HIJACK MEMORY — FINAL PROOF,mnemonics;hijack;memory,https://www.youtube.com/results?search_query=hidden+science+behind+mnemonics+hijack+memory
128,Memory & Learning,The Truth About What curiosity does to retention,STOP: WHAT CURIOSITY DOES TO RETENTION,what;curiosity;does;retention,https://www.youtube.com/results?search_query=hidden+science+behind+what+curiosity+does
